id,review,sentiment,confidence,sarcasm,aspect,annotator_notes
51,Pretty good. Would probably buy again if needed.,Positive,Medium,No,Overall Experience,Mild positive with conditional repurchase
52,Unbelievably bad. The zipper broke on day one.,Negative,High,No,Product Quality + Durability,Day-one failure = extreme negative
53,The product is made in China.,Neutral,High,No,Product Origin,Country of origin; no sentiment implied
54,Great for beginners but advanced users may want more features.,Neutral,Medium,No,Product Features,Segmented opinion; depends on user type
55,Smells like chemicals straight out of the box. Very off-putting.,Negative,High,No,Product Quality,Sensory negative = product issue
56,I gifted this to my mom and she absolutely loves it.,Positive,High,No,Overall Experience,Third-party positive reaction reported
57,Average product. Does the job.,Neutral,High,No,Product Quality,Explicitly average; no lean
58,The refund was processed in 24 hours. Impressive service.,Positive,High,No,After-Sales,Speed + impressed signal
59,Product looks nothing like the photos on the listing.,Negative,High,No,Product Accuracy,Expectation vs reality gap = negative
60,Sure this product is flawless. Already broken after three days.,Negative,High,Yes,Product Durability,Sarcasm confirmed by contradiction
61,Good quality for the price point.,Positive,Medium,No,Value for Money,Qualified positive; price-aware praise
62,I use it daily and it has held up really well.,Positive,High,No,Product Durability,Usage frequency + durability = positive
63,The cord is too short for practical use.,Negative,Medium,No,Product Design,Specific design flaw with impact
64,Delivery was faster than expected. Really impressed.,Positive,High,No,Shipping,Exceeded expectation = positive
65,The warranty is 12 months as mentioned on the box.,Neutral,High,No,After-Sales,Factual warranty info; no sentiment
66,Would not recommend this to anyone. Huge disappointment.,Negative,High,No,Overall Experience,Anti-recommendation = strong negative
67,Pretty decent for everyday use.,Neutral,Medium,No,Product Quality,Mild approval without enthusiasm
68,Perfect gift. She cried happy tears when she opened it.,Positive,High,No,Overall Experience,Emotional positive reaction reported
69,This thing is garbage. Pure and simple.,Negative,High,No,Overall Experience,Blunt emphatic negative
70,I have mixed feelings. Some things are great others not so much.,Neutral,High,No,Overall Experience,Explicit mixed statement = neutral
71,Took three weeks to arrive with no tracking updates.,Negative,High,No,Shipping,Long delay + no communication = negative
72,The motor is surprisingly quiet. Great for late night use.,Positive,High,No,Product Features,Positive surprise on specific feature
73,It is not the worst thing I have bought.,Neutral,Medium,No,Overall Experience,Faint praise; avoids negative but not positive
74,Incredibly durable. Still going strong after two years.,Positive,High,No,Product Durability,Long-term durability evidence = strong positive
75,Charged me twice and still waiting for a refund.,Negative,High,No,After-Sales + Customer Service,Financial harm + unresolved = strong negative
76,This brand never disappoints. Another great purchase.,Positive,High,No,Brand + Overall Experience,Brand loyalty expression = strong positive
77,The manual is poorly written and hard to follow.,Negative,Medium,No,Product Features,Documentation failure; functional impact
78,Setup was quick and the interface is intuitive.,Positive,High,No,Product Usability,Ease-of-use praise = positive
79,It arrived in a plain brown box.,Neutral,High,No,Packaging,Neutral packaging description
80,Feels overpriced for what you actually get.,Negative,Medium,No,Value for Money,Price-value mismatch = negative
81,Works great right out of the box. Zero setup needed.,Positive,High,No,Product Usability,Convenience = positive
82,The fan is a bit loud but otherwise fine.,Neutral,Medium,No,Product Features,One minor complaint balanced by general approval
83,I cannot believe how fast this charges. Game changer.,Positive,High,No,Product Features,Surprise + strong impact word
84,The product melted in the heat. Completely unusable.,Negative,High,No,Product Quality + Durability,Material failure = extreme negative
85,Solid product. Does exactly what I need.,Positive,Medium,No,Product Quality,Grounded confident positive
86,It is what it is.,Neutral,High,No,Overall Experience,Dismissive acceptance; no lean
87,Exceptional quality. Worth every penny.,Positive,High,No,Product Quality + Value for Money,Dual positive on quality and value
88,Three months in and already showing wear and tear.,Negative,High,No,Product Durability,Time-based durability failure = negative
89,The smell is overwhelming. Had to air it out for days.,Negative,Medium,No,Product Quality,Sensory issue affecting usability
90,Looks exactly like the pictures. Fast shipping too.,Positive,High,No,Product Accuracy + Shipping,Dual positive on accuracy and logistics
91,My third purchase from this brand. Never let me down.,Positive,High,No,Brand + Product Quality,Repeat purchase = strong loyalty signal
92,The customer rep was rude and unhelpful.,Negative,High,No,Customer Service,Direct behavioral complaint
93,Arrived on time and in perfect condition.,Positive,High,No,Shipping + Packaging,Dual delivery success = positive
94,Not sure if I like it yet. Need more time to decide.,Neutral,High,No,Overall Experience,Explicit uncertainty = neutral
95,Cheap material. Looks okay in photos but feels awful in hand.,Negative,High,No,Product Quality,Photo vs reality gap + tactile negative
96,The grip is really comfortable during long sessions.,Positive,High,No,Product Comfort,Specific ergonomic praise
97,Stopped working after exactly 31 days. Right after the return window.,Negative,High,No,Product Durability + After-Sales,Suspicious timing implies designed failure = extreme negative
98,Good enough I suppose.,Neutral,Medium,No,Overall Experience,Reluctant acceptance; no enthusiasm
99,This is genuinely the most unreliable product I have ever owned.,Negative,High,No,Product Reliability,Ownership superlative = strong negative
100,Transformed my morning routine completely. Cannot imagine life without it.,Positive,High,No,Overall Experience,Life-impact language = extremely strong positive
